name,date,sales,note,parent,
Mario,"July 9, 1981",760.21,"Mario first appeared in 1981 in the original Donkey Kong, before starring in Mario Bros., followed by the Super Mario series of platform games. The character was created by Japanese game designer Shigeru Miyamoto and has since become the official mascot of Nintendo, owner of the trademark. The games are developed by various Nintendo studios. The Mario franchise has expanded into other game genres, including racing, sports, party, puzzle, and role-playing games. It has also found success in numerous other media, including three animated television series, comic books, a manga, a film and other merchandise. It is currently the best-selling video game franchise of all time. It is also the oldest in the 100 million+ group. Sales:  Super Mario series: 383.54 million, Mario Kart series: 166.41 million, Mario Party series: 64.93 million, Mario Sports series: 43.96 million, Mario RPG series: 28.87  million, Other Mario games: 70.48 million",At least 200 million copies,
Tetris,"January 29, 1988",495,"Tetris is a falling-blocks puzzle video game created by Soviet game designer Alexey Pajitnov in 1984. Tetris variants were later commercialized and released on a vast spectrum of platforms, from video game consoles and computers to mobile devices and calculators, with the version bundled with the Game Boy selling over 35 million units, while various mobile games had seen over 425 million paid downloads by 2014.[38] It is the most successful video game franchise to originate from Russia and the former Soviet Union, the best-selling puzzle video game series and the best-selling video game franchise not owned by Nintendo. Mobile game paid downloads: 425 million, Physical sales: 70 million",At least 200 million copies,
Pokémon,"February 27, 1996",440,"Pokémon was created by Satoshi Tajiri, founder and president of Game Freak, in 1996 as a role-playing video game for the Game Boy handheld game console, soon turning into the highest-grossing media franchise of all time. The franchise as a whole includes an anime series, various manga, a trading card game, toys, merchandise, books, over twenty films (one of the highest-grossing animated film series), and other media. It is produced by The Pokémon Company, which is a joint venture by the three companies holding the rights to Pokémon: Nintendo, Game Freak, and Creatures, while Nintendo owns the trademark.",At least 200 million copies,
Call of Duty,"October 29, 2003",425,"Call of Duty is a series of first-person shooter video games. The series is published by Activision and developed by Infinity Ward, Gray Matter Studios, Treyarch, Sledgehammer Games, Raven Software, Neversoft, High Moon Studios, and Beenox. With new games in the series released annually to blockbuster-level sales, the series is verified by the Guinness World Records as the best-selling first-person shooter game series. It is also the most successful video game franchise created in the United States. In addition to main series sales, there have been over 500 million downloads of the mobile spin-off Call of Duty: Mobile.",At least 200 million copies,
Super Mario,"September 13, 1985",383.54,The Super Mario series of platform games began in 1985 and features the iconic character Mario. The series forms the core of the larger Mario franchise.,At least 200 million copies,
Grand Theft Auto,"November 28, 1997",380,"Grand Theft Auto is an open-world action-adventure video game series created by David Jones and Mike Dailly; the later titles of which were created by brothers Dan and Sam Houser, Leslie Benzies and Aaron Garbut. It is primarily developed by Scottish developer Rockstar North and published by Rockstar Games, and consists of eleven stand-alone games and four expansion packs. Grand Theft Auto is the most successful video game franchise originating from the United Kingdom and is the best-selling action-adventure and open-world series. The series best-selling game, Grand Theft Auto V, is the second best-selling video game of all time with over 169 million copies shipped.",At least 200 million copies,
FIFA,"December 15, 1993",325,,At least 200 million copies,
Final Fantasy,"December 18, 1987",168,"Final Fantasy is a Japanese science fantasy media franchise created by Japanese video game designer Hironobu Sakaguchi and owned by Square Enix. The franchise encompasses fifteen signature role-playing video games alongside a number of spin-off games, motion pictures, and many other consumer products and interactive media.",At least 100 million copies,
Mario Kart,"August 27, 1992",168,"Mario Kart is a series of kart racing games developed and published by Nintendo. The series is a spin-off of the Mario franchise and has spawned nine main games, one enhanced game, four arcade games and a mobile game. It is currently the most successful racing game franchise of all time.",At least 100 million copies,
Sonic the Hedgehog,"June 23, 1991",151.41,"Sonic the Hedgehog is a Japanese video game franchise created and owned by Sega. Starring its namesake character Sonic the Hedgehog, created by Japanese game designer Yuji Naka and character designer Naoto Ohshima, it has expanded into a media franchise spanning several animated television series, manga, comic books, and a live-action film series.",At least 100 million copies,
Need for Speed,"August 31, 1994",150,"Need for Speed is a series of racing video games published by Electronic Arts, and has been developed by multiple companies over the years such as EA Black Box and Criterion Games. There are over 25 games in the series. and a live-action film.",At least 100 million copies,
Madden NFL,"June 1, 1988",130,"Madden NFL is an American football video game series developed by Electronic Arts Tiburon for EA Sports. The series is named after Pro Football Hall of Famer John Madden, a color commentator and Super Bowl-winning head coach.",At least 100 million copies,
The Legend of Zelda,"February 21, 1986",128.17,"The Legend of Zelda is an action-adventure game franchise created by Japanese game designers Shigeru Miyamoto and Takashi Tezuka. It is primarily developed and published by Nintendo, although some portable installments and re-releases have been outsourced to Capcom, Vanpool, and Grezzo. The gameplay incorporates action-adventure and elements of action role-playing games.",At least 100 million copies,
Resident Evil,"March 22, 1996",127,"Resident Evil, known in Japan as Biohazard, is a Japanese horror media franchise, created by Shinji Mikami and Tokuro Fujiwara, developed by Capcom. It consists of a survival horror video game series, along with comic books, novelizations, it has spanning into a live action films series, animated films, an animated television series, a live action television series, Japanese plays and a variety of collectibles, including action figures.",At least 100 million copies,
Star Wars,May 83,119.371,"The Star Wars series of video games is part of the sci-fi fantasy media franchise of the same name. Series within it include Lego Star Wars, Star Wars: Battlefront, Star Wars: Rogue Squadron and Star Wars Jedi: Fallen Order.",At least 100 million copies,
NBA 2K,"November 10, 1999",118,"NBA 2K is a series of basketball sports games. Originally published by Sega under the label Sega Sports, it is now published by 2K Sports. All of the games in the series have been developed by Visual Concepts.",At least 100 million copies,
Wii Sports,"November 19, 2006",114.52,"The Wii Sports series of sports games created for the Nintendo Wii console in 2006. Its success led to the Wii video game series, of which it is a sub-series. The first game in the series, Wii Sports, was bundled with the original Wii console and is one of the best-selling games of all time.",At least 100 million copies,
Pro Evolution Soccer,"July 21, 1995",111,Pro Evolution Soccer (known as World Soccer: Winning Eleven in Japan) is a series of association football video games developed and published by Konami.,At least 100 million copies,
Tomb Raider,"November 15, 1996",88,"Tomb Raider is series of Action-adventure video games, formerly developed by Core Design and published by Eidos Interactive, it is now developed by Crystal Dynamics and published by Square Enix Europe. The series focuses on the adventures of fictional British archaeologist Lara Croft. The franchise has also spanned films, comic books, novels and animated series.",At least 50 million copies,
Dragon Quest,"May 27, 1986",84,"Dragon Quest, known as Dragon Warrior in North America until the 2005 release of Dragon Quest VIII: Journey of the Cursed King, is a series of Japanese role-playing video games created by Yuji Horii, with character design by manga artist Akira Toriyama and published by Square Enix (formerly Enix).",At least 50 million copies,
Monster Hunter,"September 21, 2004",84,"Monster Hunter is a series of action role-playing games developed and published by Capcom. In it players take the role of a hunter in a fantasy environment and complete quests by seeking out monsters to hunt or capture. The franchise has also spanned a live-action film, and an animated film.",At least 50 million copies,
Tom Clancy's,"August 21, 1998",82,"Includes sales from Tom Clancy–branded games developed by Ubisoft, including Ghost Recon, Rainbow Six, Splinter Cell, and The Division.",At least 50 million copies,
Halo,"November 15, 2001",81,"Halo is a science fiction, predominantly first-person shooter video game series created by Bungie and published by Xbox Game Studios. It has been adapted into over thirty novels, several comic series, graphic novels, numerous action figures, and an anime series. The series centers on an interstellar war between humanity and an alliance of aliens known as the Covenant. After Bungie gained independence from Microsoft in 2007, 343 Industries took control of the franchise. It is the highest-selling video game franchise exclusive to Xbox. The franchise has spanned a live action television series.",At least 50 million copies,
Gran Turismo,"December 23, 1997",80.4,"Gran Turismo (Italian for ""grand tourer"" or ""grand touring""), abbreviated GT, is a series of racing video games created by Kazunori Yamauchi for the PlayStation line of game systems. Developed by Polyphony Digital, Gran Turismo games are intended to emulate the appearance and performance of a large selection of vehicles, nearly all of which are licensed reproductions of real-world automobiles. Since the franchise's debut in December 1997, over 80 million units have been sold worldwide across the history of PlayStation systems, making it the highest-selling video game franchise exclusive to PlayStation.",At least 50 million copies,
Worms,"November 17, 1995",75,"Worms is a series of artillery tactical video games developed by British company Team17. In these games, small platoons of anthropomorphic worms battle each other across a deformable landscape with the objective being to become the sole surviving team. The games are noted for their cartoony animation and extensive use of surrealism and slapstick humour.",At least 50 million copies,
Mortal Kombat,"October 8, 1992",73,"Mortal Kombat is a series of fighting games created in 1992 by Ed Boon and John Tobias. The series has become one of the most successful fighting game franchises. It has a reputation for high levels of violent content. It is currently the best-selling fighting game franchise. The franchise has also spanned a live-action film series, and animated films.",At least 50 million copies,
Animal Crossing,"April 14, 2001",73.34,"Animal Crossing, is a social simulation game series developed and published by Nintendo. In it the player character is a human who lives in a village inhabited by anthropomorphic animals and lives a virtual life where in-game time matches real time.",At least 50 million copies,
Borderlands,"October 20, 2009",72,Borderlands is a series of action role-playing first-person shooter video games created by Gearbox Software. The franchise has spanned a live action film.,At least 50 million copies,
Just Dance,"November 17, 2009",70,"Just Dance is a series of dance and music video games published by Ubisoft. It also includes games outside of the name Just Dance, such as Michael Jackson: The Experience. It is the best-selling dance / music game franchise.",At least 50 million copies,
Super Smash Bros.,"January 21, 1999",69.79,Super Smash Bros. is a series of fighting games published by Nintendo and created by Masahiro Sakurai. It features characters and elements from various Nintendo franchises and later installments also include third-party franchises as well.,At least 50 million copies,
Red Dead,"May 4, 2004",68,"Red Dead is a series of Western-themed action-adventure games published by Rockstar Games. Originally developed by Capcom, Rockstar eventually acquired the rights and expanded on it.",At least 50 million copies,
Dragon Ball,"September 27, 1986",66.5,"Dragon Ball was created by Akira Toriyama in 1984 and is composed primarily of multiple manga series, numerous anime series, a collection of animated feature films, video games, and a collectible trading card game, as well as other collectibles like action figures.",At least 50 million copies,
Mario Party,"December 18, 1998",66.93,Mario Party is a series of multiplayer party games featuring characters from the Mario franchise in which four players compete in a board game interspersed with minigames. Most of the Mario Party games have been developed by Hudson Soft and is published by Nintendo.,At least 50 million copies,
